Provincia,Tipo Istituto,Codice Principale,Denominazione Principale,Indirizzo,CAP,Comune,Distretto,E-mail,Telefono,Codice Fiscale,Codice,Denominazione,All Students,School Type,Full Address,Latitude,Longitude
Agrigento,ISTITUTO SUPERIORE,AGIS01700D,IIS - LUIGI PIRANDELLO,CONTRADA PARATORE N. 135,92010,BIVONA,3,AGIS01700D@istruzione.it,922983223,80005230844,AGTD01701Q,LORENZO PANEPINTO,206,SEC II,"C.DA SANTA FILOMENA SNC, 92010, BIVONA",37.6153136,13.4352094
Agrigento,LICEO CLASSICO,AGPC060002,LICEO CLASSICO - VINCENZO LINARES,"VIA PROF. S. MALFITANO, 2",92027,LICATA,6,AGPC060002@istruzione.it,922772266,81000470849,AGPC060002,LICEO CLASSICO - VINCENZO LINARES,621,SEC II,"VIA PROF. S. MALFITANO 2, 92027, LICATA",37.1022613,13.9420692
Agrigento,ISTITUTO SUPERIORE,AGIS018009,IIS - GIUDICI SAETTA E LIVATINO,VIA LAURICELLA 2,92029,RAVANUSA,7,AGIS018009@istruzione.it,922875745,90021350849,AGPM01801R,GIUDICI SAETTA E LIVATINO,566,SEC II,"VIA LAURICELLA 2, 92029, RAVANUSA",37.2667788,13.9668106
Agrigento,ISTITUTO SUPERIORE,AGIS018009,IIS - GIUDICI SAETTA E LIVATINO,VIA LAURICELLA 2,92029,RAVANUSA,7,AGIS018009@istruzione.it,922875745,90021350849,AGTD01801G,GINO ZAPPA,156,SEC II,"VIA ARCADIPANE 12, Non Disponibile, CAMPOBELLO DI LICATA",37.2632519,13.9179359
Agrigento,ISTITUTO SUPERIORE,AGIS018009,IIS - GIUDICI SAETTA E LIVATINO,VIA LAURICELLA 2,92029,RAVANUSA,7,AGIS018009@istruzione.it,922875745,90021350849,AGTD01850X,GINO ZAPPA,84,SEC II,"Non Disponibile, Non Disponibile, CAMPOBELLO DI LICATA",37.2588067,13.9180186
Agrigento,ISTITUTO MAGISTRALE,AGPM02000Q,LICEO STATALE - MARTIN LUTHER KING,VIALE PIETRO NENNI 136,92026,FAVARA,5,AGPM02000Q@istruzione.it,92232516,80004380848,AGPM02000Q,LICEO STATALE - MARTIN LUTHER KING,958,SEC II,"Viale PIETRO NENNI 136, 92026, FAVARA",37.323276,13.6719211
Agrigento,ISTITUTO SUPERIORE,AGIS021005,IIS - FRANCESCO CRISPI,"VIA PRESTI, 2",92016,RIBERA,2,AGIS021005@istruzione.it,92561523,83002610844,AGPM02101L,IM FRANCESCO CRISPI,740,SEC II,"PIAZZA ZAMENHOF 1, 92016, RIBERA",37.4998487,13.2665183
Agrigento,ISTITUTO SUPERIORE,AGIS021005,IIS - FRANCESCO CRISPI,"VIA PRESTI, 2",92016,RIBERA,2,AGIS021005@istruzione.it,92561523,83002610844,AGRI02101R,I.P.I.A. ACCURSO MIRAGLIA,197,SEC II,"VIA G. VERGA 1, 92016, RIBERA",37.499833,13.269369
Agrigento,ISTITUTO SUPERIORE,AGIS021005,IIS - FRANCESCO CRISPI,"VIA PRESTI, 2",92016,RIBERA,2,AGIS021005@istruzione.it,92561523,83002610844,AGTD02101B,ITCG GIOVANNI XXIII,243,SEC II,"VIA PRESTI N. 2, 92016, RIBERA",37.4981713,13.2601762
Agrigento,ISTITUTO SUPERIORE,AGIS021005,IIS - FRANCESCO CRISPI,"VIA PRESTI, 2",92016,RIBERA,2,AGIS021005@istruzione.it,92561523,83002610844,AGTD02151R,I.T.C.G.GIOVANNI XXIII(CORSO SERALE),54,SEC II,"VIA PRESTI N.2, 92016, RIBERA",37.4981713,13.2601762
Agrigento,ISTITUTO MAGISTRALE,AGPM03000A,LICEO SCIENTIFICO E SCIENZE UMANE POLITI,VIA ACRONE 12,92100,AGRIGENTO,5,AGPM03000A@istruzione.it,92220535,80003890847,AGPM03000A,LICEO SCIENTIFICO E SCIENZE UMANE POLITI,1407,SEC II,"VIA ACRONE 12, 92100, AGRIGENTO",37.3096388,13.5800994
Agrigento,LICEO SCIENTIFICO,AGPS02000P,LICEO SCIENTIFICO - ENRICO FERMI,VIA PARMA N. 1,92019,SCIACCA,1,AGPS02000P@istruzione.it,92585103,83001490842,AGPS02000P,LICEO SCIENTIFICO - ENRICO FERMI,1090,SEC II,"VIA PARMA N. 1, 92019, SCIACCA",37.5126652,13.0670436
Agrigento,ISTITUTO SUPERIORE,AGIS022001,IIS - G.B. ODIERNA,CORSO SICILIA,92020,PALMA DI MONTECHIARO,6,AGIS022001@istruzione.it,922969227,90027870840,AGPS02201B,LS G.B. ODIERNA,426,SEC II,"CORSO SICILIA, 92020, PALMA DI MONTECHIARO",37.1890274,13.7734916
Agrigento,ISTITUTO SUPERIORE,AGIS022001,IIS - G.B. ODIERNA,CORSO SICILIA,92020,PALMA DI MONTECHIARO,6,AGIS022001@istruzione.it,922969227,90027870840,AGRI02201L,G.B. ODIERNA,92,SEC II,"CORSO SICILIA, 92020, PALMA DI MONTECHIARO",37.1890274,13.7734916
Agrigento,ISTITUTO SUPERIORE,AGIS022001,IIS - G.B. ODIERNA,CORSO SICILIA,92020,PALMA DI MONTECHIARO,6,AGIS022001@istruzione.it,922969227,90027870840,AGRI022501,G.B. ODIERNA,163,SEC II,"Non Disponibile, Non Disponibile, PALMA DI MONTECHIARO",37.1938942,13.7627177
Agrigento,ISTITUTO SUPERIORE,AGIS022001,IIS - G.B. ODIERNA,CORSO SICILIA,92020,PALMA DI MONTECHIARO,6,AGIS022001@istruzione.it,922969227,90027870840,AGTF02201D,G .B. ODIERNA,286,SEC II,"CORSO SICILIA, 92020, PALMA DI MONTECHIARO",37.1890274,13.7734916
Agrigento,ISTITUTO SUPERIORE,AGIS026008,IIS - ARCHIMEDE,"VIA G. BONFIGLIO,44",92022,CAMMARATA,8,AGIS026008@istruzione.it,922909401,93074180840,AGPS02601P,LS ARCHIMEDE CASTELTERMINI,42,SEC II,"VIALE KENNEDY 29, 92025, CASTELTERMINI",37.5401744,13.6376055
Agrigento,ISTITUTO SUPERIORE,AGIS026008,IIS - ARCHIMEDE,"VIA G. BONFIGLIO,44",92022,CAMMARATA,8,AGIS026008@istruzione.it,922909401,93074180840,AGPS02602Q,LS ARCHIMEDE CAMMARATA,133,SEC II,"PIAZZA CRISPI, 92022, CAMMARATA",37.6330517,13.6394468
Agrigento,ISTITUTO SUPERIORE,AGIS026008,IIS - ARCHIMEDE,"VIA G. BONFIGLIO,44",92022,CAMMARATA,8,AGIS026008@istruzione.it,922909401,93074180840,AGRI026021,IPSIA ARCHIMEDE,94,SEC II,"VIA MONS. PADALINO, 92025, CASTELTERMINI",37.5427292,13.6429049
Agrigento,ISTITUTO SUPERIORE,AGIS026008,IIS - ARCHIMEDE,"VIA G. BONFIGLIO,44",92022,CAMMARATA,8,AGIS026008@istruzione.it,922909401,93074180840,AGRI026508,ARCHIMEDE,83,SEC II,"Non Disponibile, Non Disponibile, CASTELTERMINI",37.5408929,13.6433045
Agrigento,ISTITUTO SUPERIORE,AGIS026008,IIS - ARCHIMEDE,"VIA G. BONFIGLIO,44",92022,CAMMARATA,8,AGIS026008@istruzione.it,922909401,93074180840,AGTD02601E,ITIA ARCHIMEDE,98,SEC II,"VIALE KENNEDY N. 29, 92025, CASTELTERMINI",37.5401744,13.6376055
Agrigento,ISTITUTO SUPERIORE,AGIS026008,IIS - ARCHIMEDE,"VIA G. BONFIGLIO,44",92022,CAMMARATA,8,AGIS026008@istruzione.it,922909401,93074180840,AGTF02601R,ITI ARCHIMEDE,323,SEC II,"VIA G. BONFIGLIO44, 92022, CAMMARATA",37.6327501,13.6387997
Agrigento,LICEO SCIENTIFICO,AGPS030009,LICEO SCIENTIFICO - LEONARDO,VIALE DELLA VITTORIA,92100,AGRIGENTO,5,AGPS030009@istruzione.it,92229990,80004050847,AGPS030009,LICEO SCIENTIFICO - LEONARDO,1488,SEC II,"VIALE DELLA VITTORIA, 92100, AGRIGENTO",37.3060408,13.5924076
Agrigento,ISTITUTO SUPERIORE,AGIS027004,IIS - GALILEO GALILEI,VIA PIRANDELLO 4,92024,CANICATTI',7,AGIS027004@istruzione.it,922852999,90029140846,AGRA027014,R.LIVATINO SEZ. ASSOCIATA,76,SEC II,"VIA PIRANDELLO 69, 92024, CANICATTI'",37.3542893,13.8419257
Agrigento,ISTITUTO SUPERIORE,AGIS027004,IIS - GALILEO GALILEI,VIA PIRANDELLO 4,92024,CANICATTI',7,AGIS027004@istruzione.it,922852999,90029140846,AGRA02751D,R.LIVATINO - SERALE,145,SEC II,"Non Disponibile, Non Disponibile, CANICATTI'",37.3581092,13.8497806
Agrigento,ISTITUTO SUPERIORE,AGIS027004,IIS - GALILEO GALILEI,VIA PIRANDELLO 4,92024,CANICATTI',7,AGIS027004@istruzione.it,922852999,90029140846,AGTD02701A,ITCG GALILEO GALILEI,698,SEC II,"VIA PIRANDELLO 4, 92024, CANICATTI'",37.3548467,13.8429728
Agrigento,ISTITUTO SUPERIORE,AGIS027004,IIS - GALILEO GALILEI,VIA PIRANDELLO 4,92024,CANICATTI',7,AGIS027004@istruzione.it,922852999,90029140846,AGTD02702B,FEDERICO II,138,SEC II,"VIA BANDINO, 92028, NARO",37.2972305,13.7930797
Agrigento,ISTITUTO SUPERIORE,AGIS01600N,IIS - DON MICHELE ARENA,VIA NENNI,92019,SCIACCA,1,AGIS01600N@istruzione.it,92522510,92002960844,AGRC01601L,I.P.S. COMM.E TURIS.SAVERIO FRISCIA,66,SEC II,"VIA ETA, 92013, MENFI",37.6008481,12.9730223
Agrigento,ISTITUTO SUPERIORE,AGIS01600N,IIS - DON MICHELE ARENA,VIA NENNI,92019,SCIACCA,1,AGIS01600N@istruzione.it,92522510,92002960844,AGRC01602N,IPSCT SAVERIO FRISCIA,102,SEC II,"VIA NENNI, 92019, SCIACCA",37.5082259,13.06083
Agrigento,ISTITUTO SUPERIORE,AGIS01600N,IIS - DON MICHELE ARENA,VIA NENNI,92019,SCIACCA,1,AGIS01600N@istruzione.it,92522510,92002960844,AGRH01601T,SCIACCA,14,SEC II,"SEDE CARCERARIA, 92019, SCIACCA",37.5086753,13.0782746
Agrigento,ISTITUTO SUPERIORE,AGIS01600N,IIS - DON MICHELE ARENA,VIA NENNI,92019,SCIACCA,1,AGIS01600N@istruzione.it,92522510,92002960844,AGRI016019,I.P.S.I.A. ACCURSIO MIRAGLIA,458,SEC II,"CORSO ACCURSIO MIRAGLIA 13/15, 92019, SCIACCA",37.5118103,13.0702438
Agrigento,ISTITUTO SUPERIORE,AGIS01600N,IIS - DON MICHELE ARENA,VIA NENNI,92019,SCIACCA,1,AGIS01600N@istruzione.it,92522510,92002960844,AGTD01601X,ITC DON MICHELE ARENA,358,SEC II,"VIA GIOTTO, 92019, SCIACCA",37.5176136,13.0790834
Agrigento,ISTITUTO SUPERIORE,AGIS01600N,IIS - DON MICHELE ARENA,VIA NENNI,92019,SCIACCA,1,AGIS01600N@istruzione.it,92522510,92002960844,AGTD016519,DON MICHELE ARENA - CORSO SERALE,17,SEC II,"VIA GIOTTO 20, 92019, SCIACCA",37.5171945,13.0797983
Agrigento,ISTITUTO SUPERIORE,AGIS02300R,IPSCEOA - N. GALLO,VIA F. QUARTARARO PITTORE S.N.,92100,AGRIGENTO,5,AGIS02300R@istruzione.it,922604313,93071330844,AGRC02301Q,IP SERV COMM. ENOG. OSPIT. ALB. GALLO,350,SEC II,"VIA F. QUARTARARO PITTORE S.N., 92100, AGRIGENTO",37.3130698,13.5799543
Agrigento,ISTITUTO SUPERIORE,AGIS02300R,IPSCEOA - N. GALLO,VIA F. QUARTARARO PITTORE S.N.,92100,AGRIGENTO,5,AGIS02300R@istruzione.it,922604313,93071330844,AGTF023019,N. GALLO,117,SEC II,"VIA G. LA PIRA, 92014, PORTO EMPEDOCLE",37.297806,13.528578
Agrigento,ISTITUTO SUPERIORE,AGIS02300R,IPSCEOA - N. GALLO,VIA F. QUARTARARO PITTORE S.N.,92100,AGRIGENTO,5,AGIS02300R@istruzione.it,922604313,93071330844,AGTL02301D,ITG BRUNELLESCHI,150,SEC II,"CONTRADA CALCARELLE, 92100, AGRIGENTO",37.316252,13.6033547
Agrigento,ISTITUTO SUPERIORE,AGIS02300R,IPSCEOA - N. GALLO,VIA F. QUARTARARO PITTORE S.N.,92100,AGRIGENTO,5,AGIS02300R@istruzione.it,922604313,93071330844,AGTL02351V,BRUNELLESCHI,93,SEC II,"Non Disponibile, Non Disponibile, AGRIGENTO",37.3088381,13.5857818
Agrigento,ISTITUTO SUPERIORE,AGIS01200A,IIS - CALOGERO AMATO VETRANO,CONTRADA MARCHESA,92019,SCIACCA,1,AGIS01200A@istruzione.it,925992116,92003990840,AGRH01201E,IPSEOA SEN. G.MOLINARI,335,SEC II,"CONTRADA MARCHESA, 92019, SCIACCA",37.5220193,13.026058
Agrigento,ISTITUTO SUPERIORE,AGIS01200A,IIS - CALOGERO AMATO VETRANO,CONTRADA MARCHESA,92019,SCIACCA,1,AGIS01200A@istruzione.it,925992116,92003990840,AGRH01250V,IPSEOA SEN. G.MOLINARI - SERALE,127,SEC II,"Non Disponibile, Non Disponibile, SCIACCA",37.5086753,13.0782746
Agrigento,ISTITUTO SUPERIORE,AGIS01200A,IIS - CALOGERO AMATO VETRANO,CONTRADA MARCHESA,92019,SCIACCA,1,AGIS01200A@istruzione.it,925992116,92003990840,AGTA012016,IST. TECNICO AGRARIO C. AMATO VETRANO,200,SEC II,"C/DA MARCHESA, 92019, SCIACCA",37.5069192,13.0879588
Agrigento,ISTITUTO SUPERIORE,AGIS013006,IIS - F. RE CAPRIATA,VIA CAMPOBELLO,92027,LICATA,6,AGIS013006@istruzione.it,922891227,81000810846,AGRH01301A,F. RE CAPRIATA,179,SEC II,"Via Campobello di Licata 135, 92027, LICATA",37.110256,13.9313326
Agrigento,ISTITUTO SUPERIORE,AGIS013006,IIS - F. RE CAPRIATA,VIA CAMPOBELLO,92027,LICATA,6,AGIS013006@istruzione.it,922891227,81000810846,AGRH01350P,F. RE CAPRIATA,75,SEC II,"Via Campobello, 153, 92027 Licata (AG)",37.1128815,13.9292766
Agrigento,ISTITUTO SUPERIORE,AGIS013006,IIS - F. RE CAPRIATA,VIA CAMPOBELLO,92027,LICATA,6,AGIS013006@istruzione.it,922891227,81000810846,AGTD01301C,ITC F. RE CAPRIATA,196,SEC II,"Via Campobello di Licata 135, 92027, LICATA",37.110256,13.9313326
Agrigento,ISTITUTO SUPERIORE,AGIS013006,IIS - F. RE CAPRIATA,VIA CAMPOBELLO,92027,LICATA,6,AGIS013006@istruzione.it,922891227,81000810846,AGTD01351T,I.T.C. F.RE CAPRIATA CORSO SERALE,0,SEC II,"Via Campobello di Licata 135, 92027, LICATA",37.110256,13.9313326
Agrigento,IST PROF PER I SERVIZI ALBERGHIERI E RISTORAZIONE,AGRH02000C,IPSSAR - G. AMBROSINI,VIA CHE GUEVARA,92026,FAVARA,5,AGRH02000C@istruzione.it,922429331,93011170847,AGRH02000C,IPSSAR - G. AMBROSINI,287,SEC II,"Viale Che Guevara 13, 92026, FAVARA",37.3067103,13.6442294
Agrigento,IST PROF PER I SERVIZI ALBERGHIERI E RISTORAZIONE,AGRH02000C,IPSSAR - G. AMBROSINI,VIA CHE GUEVARA,92026,FAVARA,5,AGRH02000C@istruzione.it,922429331,93011170847,AGRH02001D,I.P.ALB.RIST.CASA CIRCONDARIALE,119,SEC II,"Contrada Petrusa, 92100 Agrigento (AG)",37.3450659,13.4770423
Agrigento,IST PROF PER I SERVIZI ALBERGHIERI E RISTORAZIONE,AGRH02000C,IPSSAR - G. AMBROSINI,VIA CHE GUEVARA,92026,FAVARA,5,AGRH02000C@istruzione.it,922429331,93011170847,AGRH02050T,G. AMBROSINI,145,SEC II,"Viale Che Guevara 11, 92026, FAVARA",37.3066842,13.6444039
Agrigento,ISTITUTO SUPERIORE,AGIS01100E,IIS - ENRICO FERMI,VIA F.RE GRILLO SN,92027,LICATA,6,AGIS01100E@istruzione.it,922893987,91001430841,AGRI011016,FERMI,58,SEC II,"VIA CAMPOBELLO, 92027, LICATA",37.110256,13.9313326
Agrigento,ISTITUTO SUPERIORE,AGIS01100E,IIS - ENRICO FERMI,VIA F.RE GRILLO SN,92027,LICATA,6,AGIS01100E@istruzione.it,922893987,91001430841,AGTL011017,INES GIGANTI CURELLA,445,SEC II,"VIA FILIPPO RE GRILLO (C. DA CANNELLE), 92027, LICATA",37.1143655,13.9133372
Agrigento,ISTITUTO SUPERIORE,AGIS01100E,IIS - ENRICO FERMI,VIA F.RE GRILLO SN,92027,LICATA,6,AGIS01100E@istruzione.it,922893987,91001430841,AGTL01151L,I.T.G.I.G.CURELLA (CORSO SERALE),15,SEC II,"VIA PALMA N.322, 92027, LICATA",37.1135625,13.9147389
Agrigento,ISTITUTO SUPERIORE,AGIS02400L,IIS - ENRICO FERMI,VIA MINIERA TACCIA CACI PIRANDELLO S.N.C.,92021,ARAGONA,4,AGIS02400L@istruzione.it,922602498,93071340843,AGRI024018,ENRICO FERMI,399,SEC II,"VIA MINIERA TACCIA CACI PIRANDELLO, 92021, ARAGONA",37.4382028,13.6153256
Agrigento,ISTITUTO SUPERIORE,AGIS02400L,IIS - ENRICO FERMI,VIA MINIERA TACCIA CACI PIRANDELLO S.N.C.,92021,ARAGONA,4,AGIS02400L@istruzione.it,922602498,93071340843,AGRI024029,IST.PROF.INDUSTRIA E ARTIGIANATO MARCONI,101,SEC II,"VIALE CHE GUEVARA, 92026, FAVARA",37.3063005,13.6461279
Agrigento,ISTITUTO SUPERIORE,AGIS02400L,IIS - ENRICO FERMI,VIA MINIERA TACCIA CACI PIRANDELLO S.N.C.,92021,ARAGONA,4,AGIS02400L@istruzione.it,922602498,93071340843,AGRI02403A,IST.PROF.IND. E ARTIGIANATO - RACALMUTO,129,SEC II,"VIA SOLDATO CARBONE SN, 92020, RACALMUTO",37.4054946,13.7315497
Agrigento,ISTITUTO SUPERIORE,AGIS02400L,IIS - ENRICO FERMI,VIA MINIERA TACCIA CACI PIRANDELLO S.N.C.,92021,ARAGONA,4,AGIS02400L@istruzione.it,922602498,93071340843,AGRI02452P,IPIA MARCONI - CORSO SERALE,74,SEC II,"VIALE CHE GUEVARA, 92026, FAVARA",37.3063005,13.6461279
Agrigento,ISTITUTO SUPERIORE,AGIS02400L,IIS - ENRICO FERMI,VIA MINIERA TACCIA CACI PIRANDELLO S.N.C.,92021,ARAGONA,4,AGIS02400L@istruzione.it,922602498,93071340843,AGTF024015,E. FERMI,380,SEC II,"VIA MINIERA TACCIA CACI PIRANDELLO, 92021, ARAGONA",37.4382028,13.6153256
Agrigento,ISTITUTO TECNICO COMMERCIALE,AGTD09000R,I.T.E.T. LEONARDO SCIASCIA,VIA RICCARDO QUARTARARO S.N.C.,92100,AGRIGENTO,5,AGTD09000R@istruzione.it,922619319,93006910843,AGTD09000R,I.T.E.T. LEONARDO SCIASCIA,642,SEC II,"Via Quartararo Pittore 7, 92100, AGRIGENTO",37.3203108,13.5998041
Agrigento,ISTITUTO TECNICO COMMERCIALE,AGTD09000R,I.T.E.T. LEONARDO SCIASCIA,VIA RICCARDO QUARTARARO S.N.C.,92100,AGRIGENTO,5,AGTD09000R@istruzione.it,922619319,93006910843,AGTD090506,I.T.C. LEONARDO SCIASCIA CORSO SERALE,59,SEC II,"Via GIORGIO LA PIRA 1, 92014, PORTO EMPEDOCLE",37.2973609,13.5269227
Caltanissetta,ISTITUTO SUPERIORE,CLIS007007,"I.I.S. ""C.M. CARAFA""","PIAZZA CARLO MARIA CARAFA, SNC",93013,MAZZARINO,11,CLIS007007@istruzione.it,934381664,90012980851,CLPC00701E,LICEO DELLE SCIENZE UMANE ARTALE,272,SEC II,"PIAZZA CARLO MARIA CARAFA, 93013, MAZZARINO",37.3018995,14.1993839
Caltanissetta,ISTITUTO SUPERIORE,CLIS007007,"I.I.S. ""C.M. CARAFA""","PIAZZA CARLO MARIA CARAFA, SNC",93013,MAZZARINO,11,CLIS007007@istruzione.it,934381664,90012980851,CLPS00701N,CARLO MARIA CARAFA RIESI,160,SEC II,"VIALE LUIGI EINAUDI 1, 93016, RIESI",37.2792638,14.089719
Caltanissetta,ISTITUTO SUPERIORE,CLIS007007,"I.I.S. ""C.M. CARAFA""","PIAZZA CARLO MARIA CARAFA, SNC",93013,MAZZARINO,11,CLIS007007@istruzione.it,934381664,90012980851,CLRA007017,IP SERVIZI AGRICOLTURA E SVILUPPO RURALE,120,SEC II,"CONTRADA COMMENDA, 93013, MAZZARINO",37.304361,14.2150691
Caltanissetta,ISTITUTO SUPERIORE,CLIS007007,"I.I.S. ""C.M. CARAFA""","PIAZZA CARLO MARIA CARAFA, SNC",93013,MAZZARINO,11,CLIS007007@istruzione.it,934381664,90012980851,CLRA00751L,CORSO SERALE AGRARIO - MAZZARINO-RIESI,77,SEC II,"CONTRADA COMMENDA, 93013, MAZZARINO",37.304361,14.2150691
Caltanissetta,ISTITUTO SUPERIORE,CLIS007007,"I.I.S. ""C.M. CARAFA""","PIAZZA CARLO MARIA CARAFA, SNC",93013,MAZZARINO,11,CLIS007007@istruzione.it,934381664,90012980851,CLRI00701V,CARLO MARIA CARAFA RIESI,135,SEC II,"VIA LUIGI EINAUDI 1, 93016, RIESI",37.2792638,14.089719
Caltanissetta,ISTITUTO SUPERIORE,CLIS007007,"I.I.S. ""C.M. CARAFA""","PIAZZA CARLO MARIA CARAFA, SNC",93013,MAZZARINO,11,CLIS007007@istruzione.it,934381664,90012980851,CLRI007507,CORSO SERALE ALBERGH. - RIESI,54,SEC II,"VIA LUIGI EINAUDI 1, 93016, RIESI",37.2792638,14.089719
Caltanissetta,ISTITUTO SUPERIORE,CLIS007007,"I.I.S. ""C.M. CARAFA""","PIAZZA CARLO MARIA CARAFA, SNC",93013,MAZZARINO,11,CLIS007007@istruzione.it,934381664,90012980851,CLTD00701D,C.M. CARAFA,183,SEC II,"PIAZZA CARLO MARIA CARAFA, 93013, MAZZARINO",37.3018995,14.1993839
Caltanissetta,ISTITUTO SUPERIORE,CLIS007007,"I.I.S. ""C.M. CARAFA""","PIAZZA CARLO MARIA CARAFA, SNC",93013,MAZZARINO,11,CLIS007007@istruzione.it,934381664,90012980851,CLTD00750T,CORSO SERALE - C.A.T. - MAZZARINO,0,SEC II,"Non Disponibile, Non Disponibile, MAZZARINO",37.3046014,14.2114299
Caltanissetta,ISTITUTO SUPERIORE,CLIS008003,"I.I.S. ""VIRGILIO""",CONTRADA PRATO SNC,93014,MUSSOMELI,8,CLIS008003@istruzione.it,934993967,92036100854,CLPC00801A,VIRGILIO,374,SEC II,"C/DA PRATO SNC, 93014, MUSSOMELI",37.5759978,13.7519378
Caltanissetta,ISTITUTO SUPERIORE,CLIS008003,"I.I.S. ""VIRGILIO""",CONTRADA PRATO SNC,93014,MUSSOMELI,8,CLIS008003@istruzione.it,934993967,92036100854,CLRA008013,VIRGILIO,217,SEC II,"C/DA PRATO S.N., 93014, MUSSOMELI",37.5759978,13.7519378
Caltanissetta,ISTITUTO SUPERIORE,CLIS008003,"I.I.S. ""VIRGILIO""",CONTRADA PRATO SNC,93014,MUSSOMELI,8,CLIS008003@istruzione.it,934993967,92036100854,CLRA00850B,CORSO SERALE AGRARIO - MUSSOMELI,118,SEC II,"C/DA PRATO S.N., 93014, MUSSOMELI",37.5759978,13.7519378
Caltanissetta,ISTITUTO SUPERIORE,CLIS01300E,"I.I.S. ""L. RUSSO""","VIA LEONE XIII, 48/D",93100,CALTANISSETTA,9,CLIS01300E@istruzione.it,934554255,80004840858,CLPC01301T,LINGUISTICO L. RUSSO,229,SEC II,"VIA LEONEXIII 48/D, 93100, CALTANISSETTA",37.4899298,14.0438332
Caltanissetta,ISTITUTO SUPERIORE,CLIS01300E,"I.I.S. ""L. RUSSO""","VIA LEONE XIII, 48/D",93100,CALTANISSETTA,9,CLIS01300E@istruzione.it,934554255,80004840858,CLTE013018,LUIGI RUSSO,594,SEC II,"VIA LEONE XIII 48/D, 93100, CALTANISSETTA",37.4899298,14.0438332
